,yelp_name,id,ym,rating_mean,rating_ct,rating_cct,rating_cmean,rating_display,kw_adult_entertainment,kw_american_new,kw_american_traditional,kw_arcades,kw_argentine,kw_art_galleries,kw_asian_fusion,kw_bar_crawl,kw_barbeque,kw_bars,kw_beer,kw_beer_bar,kw_beer_gardens,kw_bowling,kw_breakfast_brunch,kw_breweries,kw_buffets,kw_burgers,kw_cafes,kw_cajun_creole,kw_chicken_wings,kw_chinese,kw_cigar_bars,kw_cinema,kw_cocktail_bars,kw_coffee_tea,kw_colleges_universities,kw_comedy_clubs,kw_comfort_food,kw_community_centers,kw_country_clubs,kw_country_dance_halls,kw_dance_clubs,kw_desserts,kw_diners,kw_dive_bars,kw_donuts,kw_fast_food,kw_food_trucks,kw_french,kw_gastropubs,kw_gay_bars,kw_german,kw_golf,kw_hookah_bars,kw_hot_dogs,kw_hotels,kw_italian,kw_japanese,kw_karaoke,kw_korean,kw_latin_american,kw_lebanese,kw_lounges,kw_mediterranean,kw_mexican,kw_modern_european,kw_music_venues,kw_nightlife,kw_pasta_shops,kw_performing_arts,kw_piano_bars,kw_pizza,kw_pool_halls,kw_pubs,kw_ramen,kw_restaurants,kw_salad,kw_sandwiches,kw_seafood,kw_soup,kw_southern,kw_specialty_food,kw_sports_bars,kw_stadiums_arenas,kw_steakhouses,kw_sushi_bars,kw_szechuan,kw_tacos,kw_tapas_bars,kw_teppanyaki,kw_tex_mex,kw_thai,kw_used,kw_vegan,kw_vegetarian,kw_venues_event_spaces,kw_vintage_consignment,kw_wine_spirits,kw_wine_bars,vtype
30,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,4/30/16,3,1,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
31,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,5/31/16,2,1,3,3.333333333,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
32,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,6/30/17,5,1,4,3.75,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
33,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,11/30/17,4,1,5,3.8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
34,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,12/31/17,3,1,6,3.666666667,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
35,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,2/28/18,4.5,2,8,3.875,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
36,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,3/31/18,5,1,9,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
37,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,5/31/18,5,1,10,4.1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
38,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,6/30/18,4,1,11,4.090909091,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
39,1810-taqueria-y-borracheria-el-paso,32055869880_mb897692_79936_taqueria_y_borracheria_1810,7/31/18,3,2,13,3.923076923,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Restaurant
